,board,correct,inverse_computation,k,move_limit,noise,shutter_size
0,10_easy_full,0.24,0.00298623346373,3,30,0.0,0.0
1,10_easy_pruned,0.38,0.0038163569057,3,30,0.0,0.0
2,10_hard_full,0.29,0.00280567869368,3,30,0.0,0.0
3,10_hard_pruned,0.14,0.00287554635381,3,30,0.0,0.0
4,10_medium_full,0.09,0.00259827993868,3,30,0.0,0.0
5,10_medium_pruned,0.31,0.00325892129705,3,30,0.0,0.0
6,6_easy_full,0.73,0.0134048257373,3,30,0.0,0.0
7,6_easy_pruned,0.82,0.0177651447859,3,30,0.0,0.0
8,6_hard_full,0.17,0.00663481953291,3,30,0.0,0.0
9,6_hard_pruned,0.2,0.00709068992413,3,30,0.0,0.0
10,10_easy_full,0.36,0.00305278261135,5,30,0.0,0.0
11,10_easy_pruned,0.47,0.00314594016422,5,30,0.0,0.0
12,10_hard_full,0.21,0.00274416179578,5,30,0.0,0.0
13,10_hard_pruned,0.14,0.00280875207145,5,30,0.0,0.0
14,10_medium_full,0.1,0.00261130695913,5,30,0.0,0.0
15,10_medium_pruned,0.34,0.0027193865064,5,30,0.0,0.0
16,6_easy_full,0.82,0.014852220407,5,30,0.0,0.0
17,6_easy_pruned,0.89,0.0157753588894,5,30,0.0,0.0
18,6_easy_pruned,0.96,0.00651168848082,5,30,0.0,2.0
19,6_hard_full,0.28,0.00596267366287,5,30,0.0,0.0
20,6_hard_pruned,0.2,0.00664849411608,5,30,0.0,0.0
21,10_easy_full,0.36,0.00303067038429,7,30,0.0,0.0
22,10_easy_pruned,0.46,0.00296173439166,7,30,0.0,0.0
23,10_hard_full,0.25,0.00281428531224,7,30,0.0,0.0
24,10_hard_pruned,0.14,0.00277407900577,7,30,0.0,0.0
25,10_medium_full,0.08,0.00259168070494,7,30,0.0,0.0
26,10_medium_pruned,0.34,0.00254647313471,7,30,0.0,0.0
27,6_easy_full,0.79,0.0152415790276,7,30,0.0,0.0
28,6_easy_pruned,0.86,0.0147383935151,7,30,0.0,0.0
29,6_easy_pruned,0.97,0.00783085356304,7,30,0.0,1.0
